state,county,UFO_sightings,Population,Median Age,Median Household Income,percent female,percent HS,percent AF,UFO_percapita
ca,stanislaus county,12,518321.0,33.0,49297.0,50.50345249372493,17.371860295068114,0.029711317889879053,2.315167627782783e-05
ca,sutter county,2,94787.0,34.8,50408.0,50.32757656640678,15.05586209079304,0.5654783883865931,2.1099939865171383e-05
ca,trinity county,2,13638.0,49.8,36890.0,48.90746443760082,21.770054260155447,0.12465170846165127,0.00014664906877841325
ca,tulare county,4,446644.0,29.9,42708.0,49.84349952087121,13.672858025631152,0.0664959117328342,8.955678347856458e-06
ca,ventura county,14,829017.0,36.6,76544.0,50.3362415969757,12.278879685217554,0.5067447350295591,1.6887470341380212e-05
ca,yolo county,3,202288.0,30.7,55918.0,51.218559677291786,10.741121569247806,0.19674918927469745,1.4830340900102823e-05
ca,yuba county,1,72574.0,31.9,44902.0,49.09747292418773,15.38291950285226,2.7833659437264036,1.3779039325378235e-05
co,adams county,13,452030.0,32.6,56270.0,49.69603787359246,18.55452071765148,0.0825166471251908,2.8759153153551754e-05
co,alamosa county,1,15933.0,31.3,34520.0,50.84415991966359,16.035900332642942,0.0,6.276281930584321e-05
co,arapahoe county,8,585333.0,35.9,60651.0,50.90640712209973,13.857752766374013,0.33451044106517147,1.3667433751385964e-05
co,boulder county,19,301072.0,35.7,67956.0,49.77879045543923,7.945607695169262,0.05447201998193123,6.310782802784717e-05
co,broomfield county/city,1,57171.0,35.9,77998.0,50.488884224519424,10.631264102429554,0.04372846373161218,1.749138549264487e-05
co,chaffee county,1,18063.0,47.8,46504.0,47.079665614792674,21.86790677074683,0.0,5.536178929302995e-05
co,denver county/city,18,619297.0,33.8,50313.0,49.972630256565104,12.800158889837993,0.07217861543007636,2.9065214267144843e-05
co,douglas county,7,293014.0,36.9,101591.0,50.38291685721501,8.579794822090413,0.13685352918290594,2.3889643498262883e-05
co,el paso county,14,634423.0,33.8,57125.0,49.953422243518915,13.517006791998398,4.3726346617319996,2.206729579476154e-05
co,fremont county,1,46850.0,43.4,39943.0,41.32764140875133,28.053361792956245,0.15795090715048024,2.1344717182497334e-05
co,garfield county,1,56687.0,35.1,57022.0,48.49965600578616,16.640499585442868,0.10231622770652882,1.7640728914918764e-05
co,grand county,1,14535.0,41.5,64664.0,45.80667354661163,19.910560715514276,0.0,6.879944960440316e-05
co,gunnison county,1,15421.0,34.1,52332.0,45.580701640619935,9.344400492834447,0.0,6.484663770183515e-05
co,jefferson county,9,540669.0,40.4,68984.0,50.32783459010967,14.927432495667405,0.06732400045129275,1.6646044067627327e-05
co,larimer county,5,305798.0,35.5,58626.0,50.26782385757919,12.035395914950392,0.11151152067704825,1.635066285587218e-05
co,lincoln county,2,5442.0,39.3,41910.0,39.94854832782065,30.37486218302095,0.0,0.0003675119441381845
co,logan county,1,22607.0,37.2,40415.0,44.83124695890653,22.784978104127042,0.24771088600875837,4.4234086787278275e-05
co,mesa county,5,147432.0,38.2,49471.0,50.26113733789137,20.032964349666287,0.031200824787020458,3.39139399858918e-05
co,montrose county,2,41020.0,42.8,45718.0,51.05314480741102,21.862506094588007,0.034129692832764506,4.8756704046806435e-05
co,park county,1,16131.0,47.5,61570.0,47.26923315355527,19.031678135267498,0.17357882338354721,6.199243692269544e-05
co,pitkin county,1,17173.0,43.3,72745.0,47.66202760146742,7.465207011005647,0.2387468700867641,5.8230943923601e-05
co,pueblo county,3,160048.0,38.9,41777.0,50.80600819754074,19.174872538238528,0.2368039588123563,1.8744376686993903e-05
co,rio blanco county,1,6770.0,38.0,60128.0,47.76957163958641,22.584933530280647,0.0,0.00014771048744460856
co,routt county,2,23409.0,39.7,62002.0,47.451834764406854,13.366653851082916,0.11106839249861164,8.543722499893203e-05
co,san miguel county,1,7496.0,38.9,63594.0,46.85165421558165,13.740661686232658,0.0,0.00013340448239060833
co,summit county,1,28091.0,36.0,63697.0,45.09273432772062,11.804492542095334,0.0,3.5598590295824286e-05
co,teller county,1,23276.0,48.0,59040.0,49.04622787420519,18.465372057054477,0.5112562295927136,4.296270836913559e-05
co,weld county,4,258780.0,33.5,57180.0,49.86204498029214,16.35404590772084,0.056418579488368495,1.5457145065306438e-05
ct,fairfield county,20,926233.0,39.7,82283.0,51.33125250341977,15.350241245993178,0.024831764793523874,2.159283895089033e-05
ct,hartford county,26,895827.0,40.0,64967.0,51.603713663464035,18.97877603599802,0.05302363067869131,2.9023461003073138e-05
ct,litchfield county,11,188629.0,44.9,71338.0,50.91475860021524,21.255480334413054,0.014843952944669165,5.831552942548601e-05
ct,middlesex county,7,165690.0,43.4,76994.0,51.23604321322952,20.262538475466233,0.12070734504194579,4.224757076468103e-05
ct,new haven county,37,862611.0,39.4,61996.0,51.79739187188663,20.73391134590215,0.05796355483526178,4.289303057809372e-05
ct,new london county,3,274090.0,40.5,66583.0,50.044510927067755,21.21967237038929,2.4845853551753074,1.0945309934692985e-05
ct,tolland county,4,152366.0,38.0,80529.0,49.85364188861032,17.20003150309124,0.08203930010632293,2.625257603402334e-05
ct,windham county,4,118115.0,39.7,59333.0,50.45929814164162,24.79447995597511,0.19811200948228422,3.386530076620243e-05
de,kent county,2,165030.0,36.7,55149.0,51.81724534933042,21.630006665454765,1.7239289826092228,1.2119008665091196e-05
de,new castle county,5,542784.0,37.2,64537.0,51.603768718311514,19.317076406084187,0.07627343473646976,9.21176748024997e-06
de,sussex county,5,200632.0,45.9,52710.0,51.2630088919016,26.581502452250888,0.11015191993301168,2.4921248853622554e-05
fl,alachua county,5,249848.0,30.3,42149.0,51.589366334731515,12.536021901316,0.058035285453555754,2.001216739777785e-05
fl,bay county,4,170704.0,39.7,47461.0,50.44814415596588,21.3152591620583,1.6443668572499766,2.3432374168150716e-05
fl,brevard county,10,545667.0,45.9,48039.0,51.054764169356034,21.486181132448912,0.28313971708019725,1.8326195280271666e-05
fl,broward county,31,1784889.0,39.8,51251.0,51.46605755315877,19.286801588222012,0.06902390008566359,1.7368026807269248e-05
fl,charlotte county,11,161276.0,56.7,44378.0,51.38458295096605,27.691659019320912,0.02232198219201865,6.820605669783477e-05
fl,citrus county,5,140214.0,54.6,39100.0,51.594705236281676,29.843667536765228,0.009271542071405138,3.565977719771207e-05
fl,clay county,3,192665.0,38.7,59482.0,50.97552746996081,19.04289829496795,1.077517971608751,1.5571068953883683e-05
fl,collier county,9,328209.0,47.6,55843.0,50.69361291128519,20.341611595050715,0.004265574679548702,2.7421551511384515e-05
fl,desoto county,1,34651.0,38.6,34963.0,44.06799226573548,26.567775821765604,0.023087356786239938,2.885919598279992e-05
fl,duval county,16,872598.0,35.8,48323.0,51.501034840785785,18.95764143397074,1.2148778704512273,1.833604936064488e-05
