state,shape,duration (seconds),duration (hours/min),latitude,longitude,Month,Day,Time,Year,City2,county
nj,circle,60,<1 minute,39.5400000,-74.2572222,10,17,20:26,2013,holgate,ocean county
id,fireball,5,5 seconds,43.6136111,-116.2025,10,17,20:45,2013,boise,ada county
wa,light,900,15 minutes,47.6447222,-122.6936111,10,17,21:00,2013,silverdale,kitsap county
nc,circle,2,seconds,34.0350000,-77.89388890000001,10,17,21:15,2013,carolina beach,new hanover county
fl,light,900,15 minutes,27.2436111,-80.83,10,17,21:35,2013,okeechobee,okeechobee county
va,light,300,3-5 minutes,38.0291667,-78.47694440000001,10,17,22:18,2013,charlottesville,albemarle county
ca,oval,1200,20 minutes,33.2000000,-117.24166670000001,10,17,23:00,2013,vista,san diego county
or,fireball,30,30 seconds,44.9902778,-123.025,10,18,00:00,2013,keizer,marion county
nh,circle,180,3 minutes,42.8441667,-71.4802778,10,18,01:45,2013,litchfield,hillsborough county
fl,fireball,600,10 minutes,26.3583333,-80.08333329999999,10,18,08:00,2013,boca raton,palm beach county
wa,light,600,10 minutes,46.7313889,-117.1786111,10,18,17:30,2013,pullman,whitman county
ca,cylinder,600,10 minutes,38.7083333,-121.3288889,10,18,19:00,2013,antelope,sacramento county
vt,light,900,15 minutes,44.6397222,-73.1108333,10,18,19:15,2013,milton,chittenden county
mn,light,30,20-30 seconds,46.7833333,-92.10638890000001,10,18,19:40,2013,duluth,st. louis county
tn,unknown,45,45 seconds,36.5297222,-87.3594444,10,18,19:45,2013,clarksville,montgomery county
tx,circle,7200,2 hours,32.7833333,-96.8,10,18,20:00,2013,dallas,dallas county
pa,formation,30,30 seconds,40.1738889,-80.24638890000001,10,18,20:12,2013,washington,washington county
in,fireball,90,90 seconds,38.3980556,-85.755,10,18,20:15,2013,sellersburg,clark county
pa,triangle,300,5 minutes,40.1738889,-80.24638890000001,10,18,20:15,2013,washington,washington county
nh,fireball,600,10 minutes,42.9463889,-71.51638890000001,10,18,21:30,2013,bedford,hillsborough county
ga,sphere,60,1 minute,33.6188889,-83.8675,10,18,21:30,2013,oxford,newton county
fl,fireball,180,2-3 minutes,27.3361111,-82.5308333,10,18,21:30,2013,sarasota,sarasota county
ga,other,180,3 minutes,33.9561111,-83.9880556,10,18,21:33,2013,lawrenceville,gwinnett county
fl,light,900,2-15 minutes,27.3361111,-82.5308333,10,18,21:40,2013,sarasota,sarasota county
oh,fireball,300,5 minutes,39.1619444,-84.4569444,10,18,21:45,2013,cincinnati,hamilton county
oh,fireball,900,15 minutes,39.1555556,-84.4597222,10,18,22:34,2013,norwood,hamilton county
oh,fireball,900,15 minutes,39.1555556,-84.4597222,10,18,22:34,2013,norwood,hamilton county
ma,circle,45,45 seconds,41.7055556,-70.22916670000001,10,18,22:35,2013,west yarmouth,barnstable county
in,formation,900,15 minutes,40.0455556,-86.0086111,10,18,23:30,2013,noblesville,hamilton county
wi,oval,180,3 minutes,44.8113889,-91.4983333,10,19,00:00,2013,eau claire,eau claire county
va,circle,240,4 minutes,38.8902778,-77.0844444,10,19,00:17,2013,arlington,arlington county
va,unknown,5,5 seconds,36.8527778,-75.9783333,10,19,00:20,2013,virginia beach,virginia beach city
az,oval,300,5 minutes,34.5400000,-112.4677778,10,19,07:30,2013,prescott,yavapai county
il,other,600,10 minutes,37.7644444,-89.335,10,19,10:45,2013,murphysboro,jackson county
fl,light,600,10 minutes,25.9869444,-80.2325,10,19,11:00,2013,miramar,broward county
ma,oval,6,6 seconds,42.4083333,-71.0125,10,19,11:33,2013,revere,suffolk county
ca,disk,1560,26 minutes,34.0522222,-118.2427778,10,19,13:13,2013,los angeles,los angeles county
az,circle,20,20 seconds,31.5544444,-110.3030556,10,19,13:40,2013,sierra vista,cochise county
or,disk,360,4-6 minutes,44.3936111,-122.9836111,10,19,18:00,2013,brownsville,linn county
in,light,300,5+ minutes,40.4166667,-86.87527779999999,10,19,18:45,2013,lafayette,tippecanoe county
ma,light,120,several minutes,42.6333333,-71.3166667,10,19,19:05,2013,lowell,middlesex county
az,fireball,10,10 seconds,35.0241667,-110.69666670000001,10,19,19:30,2013,winslow,navajo county
ky,light,30,30 seconds,38.1050000,-85.7588889,10,19,20:03,2013,fairdale,jefferson county
il,unknown,420,5-7 minutes,38.5338889,-89.9888889,10,19,20:10,2013,swansea,st. clair county
az,fireball,180,3 minutes,33.3061111,-111.84055559999999,10,19,20:15,2013,chandler,maricopa county
wi,circle,600,10 minutes,44.0247222,-88.5425,10,19,20:15,2013,oshkosh,winnebago county
az,fireball,180,3 minutes,33.4352778,-112.3575,10,19,20:30,2013,goodyear,maricopa county
fl,other,900,10-15 minutes,28.5380556,-81.3794444,10,19,20:45,2013,orlando,orange county
wi,light,300,5 minutes,43.7730556,-88.4469444,10,19,20:53,2013,fond du lac,fond du lac county
mo,sphere,15,10-15 seconds,38.2205556,-90.39583329999999,10,19,21:00,2013,festus,jefferson county
pa,other,30,30 seconds,40.9644444,-76.88472220000001,10,19,21:00,2013,lewisburg,union county
md,sphere,3600,1+ hours,39.1458333,-77.41722220000001,10,19,21:11,2013,poolesville,montgomery county
ca,light,300,5 minutes,33.7222222,-116.3736111,10,19,21:30,2013,palm desert,riverside county
mo,triangle,120,minutes,38.6272222,-90.1977778,10,19,21:30,2013,saint louis,saint louis city
ga,triangle,1800,~30 minutes,34.1761111,-85.1613889,10,19,21:30,2013,silver creek,floyd county
mn,sphere,5,5 seconds,44.9444444,-93.0930556,10,19,21:30,2013,st. paul,ramsey county
nc,sphere,420,7 minutes,35.2269444,-80.8433333,10,19,21:53,2013,charlotte,mecklenburg county
ct,triangle,180,3 minutes,41.3461111,-73.0794444,10,19,22:00,2013,ansonia,new haven county
id,sphere,600,5-10 minutes,43.6136111,-116.2025,10,19,22:00,2013,boise,ada county
oh,sphere,300,5 minutes,41.3197222,-81.6269444,10,19,22:00,2013,brecksville,cuyahoga county
mi,sphere,420,7 minutes,43.0125000,-83.6875,10,19,22:15,2013,flint,genesee county
tx,flash,10,10 seconds,30.2669444,-97.7427778,10,19,22:30,2013,austin,travis county
fl,light,300,5 minutes,26.9338889,-80.0944444,10,19,22:30,2013,jupiter,palm beach county
nm,light,900,15 minutes,35.0844444,-106.65055559999999,10,19,23:00,2013,albuquerque,bernalillo county
oh,light,600,8-10 minutes,41.6638889,-83.5552778,10,20,00:00,2013,toledo,lucas county
nh,cigar,10,10 seconds,42.7883333,-71.20138890000001,10,20,08:10,2013,salem,rockingham county
co,circle,60,1 minute,38.8597222,-104.91666670000001,10,20,08:15,2013,manitou springs,el paso county
fl,unknown,2700,45 minutes,26.1416667,-81.795,10,20,14:00,2013,naples,collier county
pa,light,720,12 minutes,40.1550000,-74.8291667,10,20,18:20,2013,levittown,bucks county
wa,flash,30,30 seconds,47.6588889,-117.425,10,20,18:57,2013,spokane,spokane county
ny,light,900,15 minutes,42.1344444,-73.8922222,10,20,19:00,2013,germantown,columbia county
pa,sphere,3600,1 hour,39.9522222,-75.1641667,10,20,19:00,2013,philadelphia,philadelphia county
ri,triangle,300,5 minutes,42.0027778,-71.51527779999999,10,20,19:42,2013,woonsocket,providence county
pa,light,480,8 minutes,40.1550000,-74.8291667,10,20,20:25,2013,levittown,bucks county
va,triangle,3600,1 hour,38.7508333,-77.47555559999999,10,20,21:00,2013,manassas,manassas city
ca,light,960,16 minutes,37.9577778,-121.2897222,10,20,21:40,2013,stockton,san joaquin county
az,light,420,7 minutes,34.7391667,-112.00916670000001,10,21,00:30,2013,cottonwood,yavapai county
tx,fireball,30,30 seconts,29.6194444,-95.63472220000001,10,21,06:15,2013,sugar land,fort bend county
wi,unknown,10,10 seconds,43.0388889,-87.90638890000001,10,21,06:36,2013,milwaukee,milwaukee county
ma,other,300,5:00,42.2791667,-71.41666670000001,10,21,08:15,2013,framingham,middlesex county
tx,triangle,60,1 minute,29.4238889,-98.4933333,10,21,18:30,2013,san antonio,bexar county
tx,sphere,5,3-5 seconds,29.7630556,-95.3630556,10,21,19:00,2013,houston,harris county
