state,county,UFO_sightings,Unemployment_rate_2013,REGION,DIVISION,POPESTIMATE2013,STNAME,per_capita_sightings
tn,knox county,4,6.3,3,6,444314,Tennessee,9.002642275507862e-06
tn,loudon county,1,7.8,3,6,50386,Tennessee,1.9846782836502202e-05
tn,marshall county,2,8.2,3,6,31140,Tennessee,6.422607578676943e-05
tn,maury county,4,7.1,3,6,83618,Tennessee,4.783659020784999e-05
tn,meigs county,1,10.3,3,6,11659,Tennessee,8.577064928381508e-05
tn,montgomery county,5,7.6,3,6,184252,Tennessee,2.7136747497991882e-05
tn,obion county,1,11.6,3,6,31017,Tennessee,3.224038430538092e-05
tn,rhea county,1,10.7,3,6,32529,Tennessee,3.0741799624950045e-05
tn,rutherford county,5,6.2,3,6,281148,Tennessee,1.7784227524293254e-05
tn,sevier county,4,8.5,3,6,93477,Tennessee,4.279127485905624e-05
tn,shelby county,5,8.8,3,6,938363,Tennessee,5.328428337434447e-06
tn,sullivan county,2,7.6,3,6,156185,Tennessee,1.2805327016038672e-05
tn,sumner county,7,6.2,3,6,168754,Tennessee,4.1480498240041715e-05
tn,tipton county,1,9.5,3,6,61572,Tennessee,1.6241148574027155e-05
tn,unicoi county,1,10.5,3,6,18095,Tennessee,5.526388505111909e-05
tn,warren county,1,8.5,3,6,39875,Tennessee,2.5078369905956112e-05
tn,washington county,1,7.2,3,6,125397,Tennessee,7.974672440329514e-06
tn,weakley county,1,10.4,3,6,34155,Tennessee,2.9278290147855364e-05
tn,williamson county,6,5.2,3,6,199143,Tennessee,3.0129103207243037e-05
tn,wilson county,2,6.3,3,6,121990,Tennessee,1.6394786457906387e-05
tx,bandera county,2,6.0,3,7,20557,Texas,9.729046067033128e-05
tx,bastrop county,3,6.2,3,7,75814,Texas,3.9570527870841794e-05
tx,bell county,1,6.9,3,7,327028,Texas,3.0578421419572638e-06
tx,bexar county,9,5.8,3,7,1821328,Texas,4.941449316103415e-06
tx,blanco county,1,4.7,3,7,10636,Texas,9.40203083866115e-05
tx,brazoria county,5,6.1,3,7,329890,Texas,1.5156567340628694e-05
tx,brazos county,4,4.9,3,7,204116,Texas,1.959669991573419e-05
tx,burnet county,1,5.5,3,7,43580,Texas,2.2946305644791188e-05
tx,cameron county,2,10.0,3,7,417357,Texas,4.792060514140173e-06
tx,childress county,1,4.3,3,7,7055,Texas,0.00014174344436569808
tx,collin county,8,5.5,3,7,856398,Texas,9.34145105429952e-06
tx,comal county,1,6.0,3,7,118627,Texas,8.42978411322886e-06
tx,dallas county,23,6.6,3,7,2484486,Texas,9.25744801942937e-06
tx,denton county,6,5.4,3,7,728624,Texas,8.23469992753464e-06
tx,ector county,1,4.3,3,7,149656,Texas,6.681990698668947e-06
tx,el paso county,2,7.9,3,7,830864,Texas,2.4071328159602532e-06
tx,fort bend county,6,5.5,3,7,651847,Texas,9.204613966160771e-06
tx,gaines county,1,4.2,3,7,18807,Texas,5.317169139150316e-05
tx,galveston county,5,6.9,3,7,306589,Texas,1.630847812543829e-05
tx,gray county,1,5.2,3,7,22996,Texas,4.348582362149939e-05
tx,grayson county,1,6.3,3,7,122362,Texas,8.172471845834491e-06
tx,harris county,22,6.1,3,7,4353187,Texas,5.053768652713518e-06
tx,hays county,3,5.3,3,7,176035,Texas,1.70420654983384e-05
tx,henderson county,2,7.1,3,7,78669,Texas,2.5422974742274595e-05
tx,hidalgo county,2,10.3,3,7,818619,Texas,2.4431389938420683e-06
tx,hill county,2,6.4,3,7,34851,Texas,5.7387162491750596e-05
tx,hopkins county,1,5.8,3,7,35299,Texas,2.832941443100371e-05
tx,hunt county,1,7.4,3,7,87429,Texas,1.1437852428827963e-05
tx,jack county,1,5.3,3,7,8951,Texas,0.00011171936096525528
tx,jasper county,1,10.5,3,7,35617,Texas,2.8076480332425527e-05
tx,jefferson county,2,10.9,3,7,253079,Texas,7.902670707565621e-06
tx,kendall county,1,5.1,3,7,37133,Texas,2.6930223790159697e-05
tx,la salle county,1,3.8,3,7,7444,Texas,0.00013433637829124128
tx,lampasas county,1,7.2,3,7,20142,Texas,4.964750273061265e-05
tx,lee county,1,5.1,3,7,16545,Texas,6.044122091266244e-05
tx,llano county,1,6.4,3,7,19509,Texas,5.125839356194577e-05
tx,lubbock county,3,4.9,3,7,289515,Texas,1.0362157401170924e-05
tx,matagorda county,1,9.7,3,7,36500,Texas,2.7397260273972603e-05
tx,montgomery county,4,5.4,3,7,498392,Texas,8.02581100820238e-06
tx,nueces county,4,6.1,3,7,352946,Texas,1.133317844656123e-05
tx,orange county,2,10.4,3,7,82811,Texas,2.4151380855200397e-05
tx,parker county,1,5.5,3,7,119785,Texas,8.348290687481739e-06
tx,polk county,1,7.7,3,7,45522,Texas,2.1967400377839286e-05
tx,san patricio county,1,7.2,3,7,66134,Texas,1.512081531436175e-05
tx,scurry county,1,4.2,3,7,17272,Texas,5.789717461787865e-05
tx,smith county,1,6.5,3,7,216475,Texas,4.61947107056242e-06
tx,somervell county,1,6.0,3,7,8566,Texas,0.00011674060238150829
tx,tarrant county,20,6.0,3,7,1912767,Texas,1.04560565923607e-05
tx,tom green county,1,5.2,3,7,114680,Texas,8.719916288803627e-06
tx,travis county,27,5.0,3,7,1122248,Texas,2.4058853301587527e-05
tx,tyler county,3,10.3,3,7,21508,Texas,0.00013948298307606472
tx,uvalde county,2,7.0,3,7,26904,Texas,7.43383883437407e-05
tx,ward county,1,4.7,3,7,11205,Texas,8.92458723784025e-05
tx,wichita county,4,5.9,3,7,132192,Texas,3.025901718712176e-05
tx,williamson county,5,5.3,3,7,470017,Texas,1.063791309676033e-05
tx,wise county,1,6.0,3,7,61019,Texas,1.6388338058637473e-05
ut,box elder county,1,4.7,4,8,50727,Utah,1.9713367634593018e-05
ut,cache county,2,4.0,4,8,117025,Utah,1.7090365306558428e-05
ut,carbon county,1,6.3,4,8,20903,Utah,4.784002296321102e-05
ut,davis county,7,4.3,4,8,322228,Utah,2.1723748401752797e-05
ut,iron county,2,5.5,4,8,46530,Utah,4.298302170642596e-05
ut,salt lake county,26,4.4,4,8,1079392,Utah,2.408763452017432e-05
ut,summit county,1,4.2,4,8,38420,Utah,2.6028110359187923e-05
ut,tooele county,2,5.4,4,8,60633,Utah,3.298533801725133e-05
ut,uintah county,1,4.4,4,8,35682,Utah,2.8025334902752086e-05
ut,utah county,19,4.2,4,8,551273,Utah,3.446568215747914e-05
ut,washington county,4,5.5,4,8,146987,Utah,2.721329097131039e-05
ut,weber county,4,5.4,4,8,238062,Utah,1.6802345607446798e-05
va,albemarle county,2,4.8,3,5,102270,Virginia,1.955607705094358e-05
va,alexandria city,4,4.1,3,5,149637,Virginia,2.6731356549516496e-05
