Unemployment_rate_2013,Median_Household_Income_2018,state,county
9.0,"43,439",ga,fannin county
6.7,"95,021",ga,fayette county
9.5,"44,906",ga,floyd county
5.9,"105,921",ga,forsyth county
9.8,"42,904",ga,franklin county
8.1,"70,808",ga,fulton county
9.0,"47,757",ga,gilmer county
9.5,"42,820",ga,glascock county
8.5,"53,906",ga,glynn county
8.9,"49,101",ga,gordon county
7.7,"41,002",ga,grady county
9.9,"54,016",ga,greene county
6.9,"72,008",ga,gwinnett county
8.0,"51,829",ga,habersham county
6.8,"61,631",ga,hall county
14.7,"31,716",ga,hancock county
9.3,"47,662",ga,haralson county
6.5,"74,686",ga,harris county
9.2,"47,171",ga,hart county
9.4,"46,218",ga,heard county
8.4,"72,970",ga,henry county
7.5,"60,728",ga,houston county
10.6,"38,156",ga,irwin county
6.9,"68,984",ga,jackson county
8.3,"51,241",ga,jasper county
9.9,"37,211",ga,jeff davis county
14.0,"38,274",ga,jefferson county
12.3,"31,419",ga,jenkins county
9.8,"34,849",ga,johnson county
7.3,"55,737",ga,jones county
11.3,"48,323",ga,lamar county
8.6,"41,564",ga,lanier county
10.8,"42,114",ga,laurens county
6.9,"66,090",ga,lee county
8.5,"47,685",ga,liberty county
10.0,"46,967",ga,lincoln county
8.1,"46,428",ga,long county
8.0,"41,820",ga,lowndes county
7.4,"55,583",ga,lumpkin county
11.3,"42,768",ga,mcduffie county
9.0,"42,513",ga,mcintosh county
12.8,"32,868",ga,macon county
7.6,"51,338",ga,madison county
8.8,"39,114",ga,marion county
10.8,"38,886",ga,meriwether county
7.3,"42,483",ga,miller county
8.6,"36,788",ga,mitchell county
8.0,"59,362",ga,monroe county
11.4,"41,834",ga,montgomery county
8.1,"57,978",ga,morgan county
11.2,"46,810",ga,murray county
9.3,"46,628",ga,muscogee county
9.7,"56,598",ga,newton county
5.6,"99,497",ga,oconee county
7.6,"51,105",ga,oglethorpe county
7.2,"73,309",ga,paulding county
10.7,"46,525",ga,peach county
8.0,"65,062",ga,pickens county
8.5,"44,389",ga,pierce county
8.5,"66,901",ga,pike county
8.9,"43,679",ga,polk county
8.8,"40,582",ga,pulaski county
10.3,"51,205",ga,putnam county
8.2,"33,908",ga,quitman county
9.9,"44,213",ga,rabun county
10.3,"28,298",ga,randolph county
9.8,"40,168",ga,richmond county
9.1,"59,673",ga,rockdale county
9.2,"45,378",ga,schley county
12.6,"39,048",ga,screven county
10.2,"36,869",ga,seminole county
11.5,"43,510",ga,spalding county
9.1,"45,850",ga,stephens county
8.7,"33,053",ga,stewart county
11.3,"37,562",ga,sumter county
9.3,"37,265",ga,talbot county
11.9,"34,090",ga,taliaferro county
7.9,"41,440",ga,tattnall county
11.7,"36,310",ga,taylor county
11.4,"34,297",ga,telfair county
9.8,"35,290",ga,terrell county
9.0,"41,642",ga,thomas county
8.5,"45,680",ga,tift county
11.0,"37,148",ga,toombs county
10.6,"45,853",ga,towns county
12.3,"35,069",ga,treutlen county
8.6,"45,234",ga,troup county
10.0,"33,261",ga,turner county
13.7,"42,054",ga,twiggs county
7.9,"45,943",ga,union county
9.8,"40,965",ga,upson county
8.1,"43,767",ga,walker county
7.8,"65,416",ga,walton county
9.4,"38,357",ga,ware county
12.0,"38,352",ga,warren county
9.6,"39,444",ga,washington county
9.8,"44,607",ga,wayne county
9.3,"38,187",ga,webster county
12.6,"32,691",ga,wheeler county
7.4,"51,579",ga,white county
9.6,"47,074",ga,whitfield county
11.1,"35,961",ga,wilcox county
11.2,"39,361",ga,wilkes county
10.3,"41,036",ga,wilkinson county
9.2,"48,708",ga,worth county
4.9,"80,527",hi,hawaii
6.6,"56,383",hi,hawaii county
4.5,"83,695",hi,honolulu county/city
5.6,"73,981",hi,kauai county
5.1,"78,503",hi,maui county
6.1,"55,524",id,idaho
5.2,"66,827",id,ada county
13.6,"45,311",id,adams county
5.8,"51,300",id,bannock county
5.1,"53,780",id,bear lake county
10.1,"48,451",id,benewah county
5.9,"50,941",id,bingham county
5.7,"76,113",id,blaine county
8.1,"56,837",id,boise county
8.8,"51,373",id,bonner county
5.4,"60,444",id,bonneville county
8.0,"47,118",id,boundary county
6.9,"50,050",id,butte county
6.5,"53,866",id,camas county
7.5,"53,381",id,canyon county
5.3,"61,219",id,caribou county
5.2,"51,804",id,cassia county
6.4,"48,471",id,clark county
11.3,"46,417",id,clearwater county
8.4,"47,682",id,custer county
6.7,"49,344",id,elmore county
4.2,"58,170",id,franklin county
5.2,"51,155",id,fremont county
7.8,"49,857",id,gem county
4.9,"51,302",id,gooding county
9.9,"40,569",id,idaho county
5.1,"61,927",id,jefferson county
5.3,"54,020",id,jerome county
7.3,"56,188",id,kootenai county
4.9,"49,538",id,latah county
9.4,"44,248",id,lemhi county
5.0,"44,911",id,lewis county
7.6,"50,464",id,lincoln county
4.1,"41,827",id,madison county
5.5,"53,447",id,minidoka county
5.0,"54,476",id,nez perce county
4.3,"52,602",id,oneida county
3.8,"48,192",id,owyhee county
6.5,"51,835",id,payette county
6.6,"51,921",id,power county
12.1,"36,085",id,shoshone county
5.0,"68,749",id,teton county
5.7,"51,594",id,twin falls county
10.2,"60,285",id,valley county
7.4,"43,402",id,washington county
9.0,"65,063",il,illinois
6.8,"55,174",il,adams county
12.7,"35,249",il,alexander county
8.7,"54,800",il,bond county
10.1,"74,507",il,boone county
6.2,"55,327",il,brown county
9.2,"56,099",il,bureau county
9.8,"56,099",il,calhoun county
8.0,"51,963",il,carroll county
9.1,"52,486",il,cass county
7.2,"53,251",il,champaign county
9.7,"52,936",il,christian county
9.3,"54,092",il,clark county
9.9,"45,427",il,clay county
6.8,"66,597",il,clinton county
8.8,"47,291",il,coles county
9.6,"63,347",il,cook county
8.3,"52,313",il,crawford county
7.8,"60,572",il,cumberland county
8.2,"63,274",il,dekalb county
8.3,"55,300",il,de witt county
6.9,"56,976",il,douglas county
7.4,"93,540",il,dupage county
9.5,"51,577",il,edgar county
8.6,"51,280",il,edwards county
6.9,"60,773",il,effingham county
9.2,"47,484",il,fayette county
7.4,"55,357",il,ford county
11.9,"42,071",il,franklin county
10.9,"51,258",il,fulton county
9.4,"43,330",il,gallatin county
8.6,"47,314",il,greene county
11.6,"79,348",il,grundy county
7.8,"53,028",il,hamilton county
8.5,"53,553",il,hancock county
11.4,"41,713",il,hardin county
7.9,"53,632",il,henderson county
7.7,"58,042",il,henry county
8.5,"55,247",il,iroquois county
7.9,"41,445",il,jackson county
7.9,"54,552",il,jasper county
9.5,"47,425",il,jefferson county
9.0,"59,117",il,jersey county
7.6,"56,832",il,jo daviess county
12.2,"53,884",il,johnson county
8.7,"79,834",il,kane county
10.5,"53,884",il,kankakee county
8.4,"93,345",il,kendall county
8.9,"44,553",il,knox county
7.9,"87,336",il,lake county
10.3,"54,063",il,lasalle county
10.2,"43,767",il,lawrence county
8.0,"54,915",il,lee county
8.1,"59,323",il,livingston county
8.1,"52,959",il,logan county
8.3,"42,887",il,mcdonough county
8.6,"86,268",il,mchenry county
6.6,"67,087",il,mclean county
11.3,"50,684",il,macon county
9.5,"53,409",il,macoupin county
8.9,"60,121",il,madison county
10.1,"46,096",il,marion county
9.1,"57,422",il,marshall county
10.9,"48,764",il,mason county
9.8,"43,783",il,massac county
7.2,"74,872",il,menard county
7.8,"58,384",il,mercer county
6.7,"88,481",il,monroe county
10.9,"53,138",il,montgomery county
7.9,"48,976",il,morgan county
7.2,"59,901",il,moultrie county
9.9,"61,794",il,ogle county
9.6,"56,478",il,peoria county
11.0,"49,965",il,perry county
7.0,"67,460",il,piatt county
7.5,"47,815",il,pike county
9.2,"43,053",il,pope county
12.5,"38,400",il,pulaski county
9.9,"66,319",il,putnam county
8.4,"53,607",il,randolph county
8.3,"48,152",il,richland county
8.3,"52,642",il,rock island county
9.8,"58,222",il,st. clair county
10.6,"40,761",il,saline county
7.5,"62,242",il,sangamon county
8.3,"52,018",il,schuyler county
8.9,"55,198",il,scott county
8.7,"56,509",il,shelby county
9.5,"52,651",il,stark county
9.4,"47,357",il,stephenson county
8.7,"61,508",il,tazewell county
11.2,"49,716",il,union county
10.6,"44,638",il,vermilion county
7.5,"53,414",il,wabash county
7.4,"53,532",il,warren county
6.2,"66,937",il,washington county
7.8,"50,471",il,wayne county
7.7,"49,507",il,white county
8.7,"57,197",il,whiteside county
9.8,"86,108",il,will county
9.0,"46,187",il,williamson county
10.5,"53,795",il,winnebago county
7.1,"72,247",il,woodford county
7.7,"55,725",in,indiana
6.1,"56,693",in,adams county
